SYMPTOM,VAERS_ID,AGE_YRS,DIED,L_THREAT,OTHER_MEDS,CUR_ILL,HISTORY,PRIOR_VAX,ALLERGIES,HOSPITAL,F,M,JANSSEN,MODERNA,PFIZER,VAX_DOSE_SERIES_1,VAX_DOSE_SERIES_2,VAX_SITE_LA,VAX_SITE_RA,AGE_GROUP
Cast application,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cataract,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Central nervous system lesion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cerebellar infarction,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cerebellar stroke,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cerebral artery embolism,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cerebral artery occlusion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Breast mass,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Breast discomfort,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cerebral ischaemia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood pressure systolic decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood triglycerides increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood thyroid stimulating hormone increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood thyroid stimulating hormone decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood sodium,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood smear test abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood pressure systolic increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood pressure systolic abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Brain stem infarction,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood pressure orthostatic normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood pressure immeasurable,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood pressure diastolic increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood pressure diastolic decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood pH increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood osmolarity normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood triglycerides normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood urea decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood urine absent,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Body height decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Body mass index,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Body temperature normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Bone scan,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Borrelia test,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Borrelia test negative,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Brachial artery entrapment syndrome,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Brachiocephalic vein thrombosis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Bradycardia foetal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Brain death,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Brain injury,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Brain natriuretic peptide normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Brain oedema,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Brain operation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cerebral atrophy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cerebral microhaemorrhage,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Omentectomy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Depressed mood,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dialysis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Diabetic foot,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Device leakage,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Device dispensing error,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dermatitis psoriasiform,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dermatitis atopic,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dependence on respirator,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cytology,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dental discomfort,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dementia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Delusion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Decreased activity,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Deafness transitory,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Deafness bilateral,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Diaphragmalgia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Diaphragmatic paralysis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Diaphragmatic spasm,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Differential white blood cell count abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Directional Doppler flow tests,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Discoloured vomit,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Disseminated intravascular coagulation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Disturbance in social behaviour,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Diverticulitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Diverticulitis intestinal perforated,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Drug ineffective,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Drug interaction,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Drug screen,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Drug screen negative,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Duodenitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dyshidrotic eczema,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dyslipidaemia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cytomegalovirus test negative,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cytogenetic analysis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cerebral venous sinus thrombosis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Chronic left ventricular failure,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Coagulopathy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Coagulation time,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Coagulation test normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Clostridium difficile colitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Clonus,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Circumoral oedema,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Chronic kidney disease,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cystitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Chorioretinopathy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Chondritis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cholelithiasis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Choking sensation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Chemotherapy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cervical spinal stenosis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Colectomy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Complement factor C4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Concussion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Consciousness fluctuating,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Contraindicated product administered,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Conversion disorder,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cooling therapy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Corneal graft rejection,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Corneal infiltrates,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Corneal oedema,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Coronary artery bypass,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cryptococcus test,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Crystal urine,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Culture positive,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Culture stool,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Culture throat,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cystatin C increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood osmolarity decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood magnesium increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood ketone body,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Anaemia macrocytic,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Anisocytosis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Anion gap increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Angiotensin converting enzyme,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Aneurysm ruptured,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Anal pruritus,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Anal haemorrhage,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Amyloidosis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Allergy test negative,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Amylase increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Amylase,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ammonia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Amino acid level,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Amenorrhoea,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Alopecia areata,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Anti factor Xa assay normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Anti-NMDA antibody negative,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Anti-cyclic citrullinated peptide antibody negative,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Anti-cyclic citrullinated peptide antibody positive,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Anti-muscle specific kinase antibody,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Antibody test positive,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Anticonvulsant drug level decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Antineutrophil cytoplasmic antibody increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Antineutrophil cytoplasmic antibody negative,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Antineutrophil cytoplasmic antibody positive,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Antiphospholipid antibodies,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Antiviral treatment,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Aortic dilatation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Aortic stenosis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Aortic valve incompetence,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Apathy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Apgar score normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Allergy to surgical sutures,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Allen's test,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood insulin,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Absence of immediate treatment response,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Acute febrile neutrophilic dermatosis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Acute abdomen,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Acupuncture,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Accessory muscle,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Accelerated hypertension,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Acarodermatitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Abscess limb,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Alcohol use,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Abnormal withdrawal bleeding,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Abdominal wall oedema,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Abdominal tenderness,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Abdominal rigidity,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Abdominal lymphadenopathy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Abdominal injury,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Acute leukaemia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Acute psychosis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Adjusted calcium,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Adjusted calcium increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Administration site joint movement impairment,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Administration site swelling,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Adrenal disorder,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Adverse drug reaction,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Aerophagia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Affect lability,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Affective disorder,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Agnosia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Airway patency device insertion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Airway secretion clearance therapy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Alanine aminotransferase decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Albumin urine present,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Alcohol interaction,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Apnoeic attack,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Apparent life threatening event,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Application site haemorrhage,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blast cells,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood calcium increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood calcitonin normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood albumin increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood albumin,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood HIV RNA below assay limit,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blepharitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blast cell crisis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Aptyalism,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Bladder pain,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Bladder cancer stage IV,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Biopsy thyroid gland normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Biopsy small intestine,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Biopsy skin abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Biopsy colon,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood cannabinoids normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood chloride,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood cholesterol,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood cholesterol normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood copper normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood count abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood creatine phosphokinase MB increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood creatine phosphokinase abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood creatinine,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood creatinine abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood creatinine decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood fibrinogen decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood glucose abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood gonadotrophin,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood immunoglobulin A decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood immunoglobulin E,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Blood immunoglobulin M normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Bilirubin urine,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Bilirubin conjugated increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Beta haemolytic streptococcal infection,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Atrioventricular block first degree,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Arrhythmia supraventricular,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Arterial catheterisation normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Arterial occlusive disease,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Arteriogram carotid,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Arteriogram carotid normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Arteriogram coronary abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Arteriospasm coronary,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Arteriovenous fistula operation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Arthritis bacterial,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Arthrogram,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Aspiration bursa,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Asthmatic crisis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Atrial septal defect,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Atrioventricular block complete,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Atypical mycobacterial infection,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Bed rest,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Auditory disorder,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Auscultation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Autoantibody positive,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Autoimmune demyelinating disease,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Autoimmune haemolytic anaemia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Axillary lymphadenectomy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Azotaemia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Bacteraemia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Bacterial sepsis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Band neutrophil percentage decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Band neutrophil percentage increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Barium swallow,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Basophil count decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Basophil percentage increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dysphemia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dyspnoea at rest,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dystonia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Jaw fracture,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Laboratory test abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Kidney infection,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Joint vibration,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Joint injury,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Joint fluid drainage,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Joint contracture,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Jaundice,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Intestinal resection,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Iron deficiency anaemia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Iridocyclitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Intraventricular haemorrhage,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Intraosseous access placement,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Intraductal papillary mucinous neoplasm,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Intracranial aneurysm,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Lack of spontaneous speech,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Lactation disorder,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Lactic acidosis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Lacunar infarction,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Large intestine polyp,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Laryngitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Left ventricular dysfunction,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
